City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
305,miranda,3.2499,-76.2281,26.07,66,95,1.99,CO,1675783714
306,vaitape,-16.5167,-151.75,26.31,79,29,5.48,PF,1675783714
307,egvekinot,66.3167,-179.1667,-30.75,87,96,4.0,RU,1675783715
308,qeshm,26.9581,56.2719,21.94,63,36,3.04,IR,1675783715
309,mathbaria,22.2876,89.9593,20.45,87,0,2.8,BD,1675783716
310,bintulu,3.1667,113.0333,24.45,90,90,1.29,MY,1675783716
311,praya,14.9215,-23.5087,24.3,46,20,12.86,CV,1675783717
312,adrar,20.5022,-10.0711,24.55,14,4,5.7,MR,1675783717
313,sao filipe,14.8961,-24.4956,20.9,60,0,5.85,CV,1675783717
314,namibe,-15.1961,12.1522,24.09,66,100,5.59,AO,1675783718
315,diffa,13.3154,12.6113,30.06,12,100,6.99,NE,1675783718
316,xining,36.6167,101.7667,-1.04,41,100,2.29,CN,1675783719
317,waingapu,-9.6567,120.2641,26.21,88,98,4.42,ID,1675783719
318,kilosa,-6.8333,36.9833,27.65,73,100,1.8,TZ,1675783719
319,lebu,-37.6167,-73.65,18.18,65,0,7.73,CL,1675783720
320,broken hill,-31.95,141.4333,24.38,25,0,3.96,AU,1675783720
321,beloha,-25.1667,45.05,24.22,73,100,5.09,MG,1675783721
322,bukan,36.521,46.2089,0.89,91,46,3.52,IR,1675783721
323,manado,1.487,124.8455,24.43,94,40,4.12,ID,1675783487
324,zhanakorgan,43.9098,67.2495,2.55,62,100,4.64,KZ,1675783722
325,komatipoort,-25.4332,31.9548,28.92,54,89,4.73,ZA,1675783722
326,panama city,8.9936,-79.5197,31.32,63,40,5.66,PA,1675783554
327,templemore,52.7947,-7.8339,9.71,86,100,2.85,IE,1675783723
328,kungurtug,50.5994,97.5228,-22.95,98,66,0.91,RU,1675783723
329,sompeta,18.9333,84.6,22.5,80,27,3.89,IN,1675783723
330,luangwa,-15.6167,30.4167,28.49,73,53,1.81,ZM,1675783724
331,harper,4.375,-7.7169,29.45,67,84,3.98,LR,1675783724
332,kutno,52.2306,19.3641,-0.95,84,92,2.97,PL,1675783725
333,fougamou,-1.2154,10.5838,31.25,57,59,1.64,GA,1675783725
334,brookings,44.3114,-96.7984,-4.81,86,0,2.06,US,1675783725
335,galesong,-5.3166,119.3661,26.01,82,76,2.33,ID,1675783726
336,flinders,-34.5833,150.8552,21.77,88,100,1.34,AU,1675783726
337,north branch,45.5113,-92.9802,0.63,88,71,6.71,US,1675783727
338,olafsvik,64.8945,-23.7142,-1.8,55,100,18.69,IS,1675783727
339,belyy yar,53.6039,91.3903,-16.75,88,100,1.0,RU,1675783727
340,mackenzie,55.2999,-123.1698,-8.88,92,0,0.0,CA,1675783728
341,paso de carrasco,-34.8603,-56.0522,31.25,67,75,4.12,UY,1675783728
342,valle de allende,26.9333,-105.4,12.13,26,83,1.38,MX,1675783729
343,tessalit,20.1986,1.0114,31.65,8,100,6.89,ML,1675783729
344,severo-kurilsk,50.6789,156.125,-4.63,64,80,7.0,RU,1675783730
345,shingu,33.7333,135.9833,9.83,87,97,1.73,JP,1675783730
346,trelew,-43.249,-65.3051,26.15,24,0,7.72,AR,1675783731
347,iaciara,-14.0958,-46.6317,30.39,51,72,1.33,BR,1675783731
348,abu samrah,35.3029,37.1841,6.35,69,22,7.82,SY,1675783733
349,lakota,5.8528,-5.6883,32.6,41,93,1.42,CI,1675783733
350,itaituba,-4.2761,-55.9836,27.51,89,98,0.51,BR,1675783674
351,hinton,53.4001,-117.5857,-4.71,96,77,1.74,CA,1675783734
352,gogrial,8.5332,28.1004,35.93,8,74,3.85,SS,1675783734
353,el sauzal,31.9,-116.6833,11.79,44,0,3.9,MX,1675783734
354,fayaoue,-20.65,166.5333,26.91,82,100,4.97,NC,1675783735
355,fort nelson,58.8053,-122.7002,-13.92,93,20,1.03,CA,1675783735
356,qandala,11.472,49.8728,24.41,80,83,2.78,SO,1675783736
357,axim,4.8699,-2.2405,28.82,70,90,4.57,GH,1675783736
358,pandan,14.0453,124.1694,25.34,83,100,3.97,PH,1675783737
359,atar,20.5169,-13.0499,25.28,13,8,6.16,MR,1675783737
360,kununurra,-15.7667,128.7333,25.99,78,2,1.54,AU,1675783738
361,karratha,-20.7377,116.8463,31.09,57,30,4.15,AU,1675783738
